nCount_RNA	limbtype	Pitx1
10508	HLWT	1
11522	HLWT	14
15645	HLWT	8
12022	HLWT	3
11965	HLWT	1
9171	HLWT	3
16791	HLWT	0
12391	HLWT	21
4142	HLWT	0
17352	HLWT	4
20100	HLWT	1
12067	HLWT	15
9786	HLWT	0
25255	HLWT	2
14063	HLWT	1
20243	HLWT	1
14476	HLWT	1
11533	HLWT	15
13900	HLWT	10
12699	HLWT	1
7832	HLWT	0
13294	HLWT	3
13079	HLWT	3
9312	HLWT	0
19277	HLWT	17
14360	HLWT	3
11117	HLWT	1
7921	HLWT	0
10023	HLWT	8
12795	HLWT	4
11764	HLWT	0
13758	HLWT	3
13585	HLWT	0
5617	HLWT	1
6776	HLWT	0
13219	HLWT	0
11378	HLWT	8
28040	HLWT	0
24478	HLWT	4
19139	HLWT	0
8871	HLWT	1
4210	HLWT	5
10157	HLWT	8
10399	HLWT	2
8714	HLWT	10
20983	HLWT	1
8966	HLWT	3
14098	HLWT	7
11741	HLWT	3
23103	HLWT	4
7404	HLWT	5
17203	HLWT	3
16136	HLWT	5
10900	HLWT	0
15560	HLWT	7
10815	HLWT	2
10376	HLWT	4
12639	HLWT	0
10693	HLWT	6
2866	HLWT	0
7571	HLWT	4
13664	HLWT	5
15738	HLWT	7
45088	HLWT	0
7079	HLWT	0
19447	HLWT	1
11124	HLWT	1
12768	HLWT	14
10943	HLWT	5
14801	HLWT	2
11906	HLWT	11
13269	HLWT	0
9704	HLWT	0
31183	HLWT	15
16375	HLWT	4
25715	HLWT	5
29225	HLWT	14
19058	HLWT	2
8356	HLWT	8
9777	HLWT	2
7335	HLWT	1
19276	HLWT	2
15034	HLWT	0
21095	HLWT	0
11794	HLWT	1
29685	HLWT	3
9490	HLWT	2
8256	HLWT	16
22200	HLWT	0
21049	HLWT	0
18668	HLWT	6
11234	HLWT	3
20454	HLWT	0
10153	HLWT	6
12592	HLWT	5
49951	HLWT	0
9213	HLWT	7
14014	HLWT	4
15508	HLWT	0
26709	HLWT	0
8843	HLWT	5
25384	HLWT	2
6389	HLWT	7
11515	HLWT	2
17213	HLWT	2
8998	HLWT	4
43197	HLWT	0
11476	HLWT	3
6719	HLWT	3
8449	HLWT	0
4062	HLWT	0
11261	HLWT	1
11436	HLWT	0
20477	HLWT	0
13728	HLWT	2
7703	HLWT	8
8950	HLWT	3
15633	HLWT	0
8748	HLWT	1
20749	HLWT	8
10558	HLWT	4
9815	HLWT	0
14834	HLWT	0
22384	HLWT	1
15392	HLWT	1
15228	HLWT	1
8304	HLWT	0
4356	HLWT	0
19159	HLWT	0
11069	HLWT	1
25438	HLWT	0
10212	HLWT	14
7795	HLWT	12
10475	HLWT	2
6944	HLWT	1
12380	HLWT	1
27977	HLWT	1
20520	HLWT	4
19854	HLWT	0
8365	HLWT	2
8875	HLWT	6
14062	HLWT	1
18662	HLWT	21
7601	HLWT	0
11915	HLWT	2
14141	HLWT	11
13419	HLWT	5
13418	HLWT	4
8519	HLWT	1
9446	HLWT	1
18952	HLWT	9
11551	HLWT	2
14845	HLWT	7
13905	HLWT	4
6614	HLWT	0
11753	HLWT	2
14886	HLWT	3
14687	HLWT	10
8165	HLWT	2
13708	HLWT	1
9732	HLWT	0
12683	HLWT	10
12993	HLWT	4
16739	HLWT	4
7063	HLWT	6
15834	HLWT	0
10447	HLWT	2
10503	HLWT	9
28931	HLWT	3
13822	HLWT	0
16082	HLWT	1
23565	HLWT	5
6932	HLWT	3
19445	HLWT	3
10807	HLWT	0
8563	HLWT	0
4773	HLWT	6
29529	HLWT	0
9028	HLWT	0
13974	HLWT	6
18319	HLWT	0
9820	HLWT	1
25659	HLWT	21
12684	HLWT	1
9750	HLWT	3
11568	HLWT	9
18979	HLWT	4
13741	HLWT	1
14844	HLWT	9
16955	HLWT	0
8008	HLWT	0
14772	HLWT	11
13401	HLWT	0
12952	HLWT	12
15652	HLWT	7
22923	HLWT	2
12518	HLWT	0
22653	HLWT	2
17584	HLWT	0
9946	HLWT	1
8190	HLWT	4
21833	HLWT	7
29548	HLWT	0
8610	HLWT	0
8153	HLWT	2
65326	HLWT	1
5733	HLWT	0
8522	HLWT	0
27085	HLWT	5
8173	HLWT	2
5689	HLWT	0
10609	HLWT	6
10519	HLWT	13
11407	HLWT	1
14799	HLWT	6
13608	HLWT	13
5252	HLWT	5
10361	HLWT	0
7672	HLWT	0
10651	HLWT	5
8832	HLWT	3
17140	HLWT	6
10917	HLWT	1
22200	HLWT	3
6241	HLWT	0
18846	HLWT	0
2459	HLWT	1
12665	HLWT	0
10568	HLWT	1
16875	HLWT	1
10955	HLWT	5
8234	HLWT	2
12868	HLWT	1
7404	HLWT	3
22922	HLWT	7
18439	HLWT	4
17434	HLWT	2
4364	HLWT	0
18790	HLWT	2
12916	HLWT	1
14670	HLWT	0
19890	HLWT	2
19991	HLWT	10
8320	HLWT	1
4922	HLWT	4
20409	HLWT	2
12178	HLWT	1
12303	HLWT	11
9470	HLWT	10
13923	HLWT	3
13899	HLWT	3
16878	HLWT	4
11459	HLWT	9
10784	HLWT	6
39939	HLWT	3
11709	HLWT	9
25829	HLWT	16
16560	HLWT	6
31501	HLWT	0
8015	HLWT	0
25209	HLWT	0
17031	HLWT	2
12212	HLWT	3
10540	HLWT	5
8834	HLWT	12
41472	HLWT	0
15114	HLWT	3
8710	HLWT	2
18727	HLWT	9
21998	HLWT	3
13738	HLWT	0
10027	HLWT	0
9032	HLWT	0
13201	HLWT	0
11647	HLWT	10
6789	HLWT	0
15776	HLWT	14
10675	HLWT	3
10632	HLWT	9
14236	HLWT	0
15990	HLWT	0
19853	HLWT	12
7995	HLWT	5
8458	HLWT	0
9469	HLWT	2
5946	HLWT	2
12053	HLWT	0
10349	HLWT	3
6197	HLWT	1
10835	HLWT	8
13495	HLWT	0
